"COPC Name","CAS #","MW [g/mole]","Tm [K]","Vp [atm]","S [mg/L]","H [atm*m^3/mol]","Da [cm^2/s]","Dw [cm^2/s]","Kow","Koc [mL/g]","Kds [cm^3/g]","Kdsw [L/kg]","Kdbs [cm^3/g]","Ksg [1/year]","Fv","RCF","Br root veg","Br leafy veg","Br forage","Bv leafy veg","Bv forage","Ba milk [day/kg FW]","Ba beef [day/kg FW]","Ba pork [day/kg FW]","BCF egg","BCF chicken","BCF Fish [L/kg FW tissue]","BAF fish [L/kg FW]","BSAF fish","RfD [mg/kg/day]","RfD Information Source","Oral CSF [mg/kg/day]-1","CSF Information Source","RFC [mg/m^3]","Inhalation URF [1/(µg/m^3)]","Inhalation CSF [1/(mg/kg/day/)]","Chemical type","Chemical Subtype","Br Grain","Ba egg","Ba chicken","Inhalation RFD","TEF","FACTIVE"
"Acenaphthene","83-32-9",154,366,3.29e-06,3.6,0.00016,0.001,1e-05,7940,4900,3.9,"368","196",2.48,1,234,0.213,0.216,0.216,4.97,4.97,0.00512,0.0243,0.0294,0.0732,NA,201,201,NA,0.06,"IRIS",NA,NA,NA,NA,NA,"O","PAH",0.216,0.0102,0.0179,NA,NA,TRUE
"Acenaphthylene","208-96-8",152.19,364.9,8.75e-06,3.9,0.000111,0.044,7.5e-06,8709,2760,3.9,"207","110.4",4.22,1,32.6,0.0218,0.27,0.27,125000,125000,0.00512,0.0243,0.0294,0.0732,NA,549,549,NA,NA,NA,NA,NA,NA,NA,NA,"O","PAH",0.216,0.0102,0.0179,NA,NA,TRUE
"Acetaldehyde","75-07-0",44.1,150,1.19,1e+06,7.89e-05,0.124,1.41e-05,0.603,0.61,0.006,"0.05","0.02",NA,1,6.46,1060,8.38,8.38,0.000413,0.000413,6.34e-06,3.01e-05,3.64e-05,4.78e-06,NA,3.16,NA,NA,NA,NA,NA,NA,0.009,2.2e-06,NA,"O",NA,8.38,1.27e-05,2.22e-05,NA,NA,TRUE
"Acetamide","60-35-5",59.1,354,0.00132,2250000,3.45e-08,0.125,1.45e-05,0.055,0.0578,0.000578,"0.00433","0.00231",8.43,1,6.39,11100,207,207,0.0736,0.0736,1.91e-06,9.07e-06,1.1e-05,NA,NA,3.16,NA,NA,NA,NA,0.07,"Cal EPA",NA,2e-05,NA,"O",NA,207,3.82e-06,6.68e-06,NA,NA,TRUE
"Acetone","67-64-1",58.1,178,0.303,1e+06,3.9e-05,0.124,1.14e-05,0.575,0.58,0.087,"0.04","0.02",36.1,1,6.46,74.2,8.38,8.38,0.000796,0.000796,6.02e-06,2.86e-05,3.46e-05,4.77e-06,NA,3.16,NA,NA,0.9,"IRIS",NA,NA,NA,NA,NA,"O",NA,8.38,1.2e-05,2.11e-05,NA,NA,TRUE
"Acetonitrile","75-05-8",41.1,228,0.12,74000,3.46e-05,0.128,1.66e-05,0.457,0.46,0.005,"0.03","0.02",9.03,1,6.43,1390,8.38,8.38,0.000702,0.000702,4.64e-06,2.21e-05,2.67e-05,3.63e-06,NA,3.16,NA,NA,0.006,"old EPA",NA,NA,0.06,NA,NA,"O",NA,8.38,9.29e-06,1.63e-05,NA,NA,TRUE
"Acetophenone","98-86-2",120,293,0.000522,6130,1.07e-05,0.06,8.73e-06,38,35.8,0.36,"2.68","1.43",NA,1,10.1,28.3,4.73,4.73,0.252,0.252,0.000306,0.00145,0.00176,0.000347,NA,0.475,NA,NA,0.1,"IRIS",NA,NA,NA,NA,NA,"O",NA,4.73,0.000612,0.00107,NA,NA,TRUE
"Acrolein","107-02-8",56.1,185,0.355,210000,0.00012,0.105,1.22e-05,0.977,0.98,0.15,"0.07","0.04",9.03,1,6.54,43.6,8.38,8.38,0.000455,0.000455,1.07e-05,5.11e-05,6.18e-05,7.78e-06,NA,3.16,NA,NA,5e-04,"IRIS",NA,NA,4e-04,NA,NA,"O",NA,8.38,2.15e-05,3.76e-05,NA,NA,TRUE
"Acrylamide","79-06-1",71.1,358,9.21e-06,640000,1.02e-09,0.111,1.28e-05,0.214,0.22,0.0022,"0.0165","0.00879",8.43,1,6.39,2910,94.5,94.5,10.6,10.6,1.91e-06,9.07e-06,1.1e-05,NA,NA,3.16,NA,NA,0.002,"IRIS",0.5,"IRIS",0.006,1e-04,NA,"O",NA,94.5,3.82e-06,6.68e-06,NA,NA,TRUE
"Acrylic Acid","79-10-7",72.1,287,0.00523,1e+06,3.76e-07,0.11,1.27e-05,2.24,2.21,0.0221,"0.166","0.0884",14.9,1,6.74,305,24.3,24.3,0.35,0.35,2.54e-05,0.000121,0.000146,NA,NA,3.16,NA,NA,0.5,"IRIS",NA,NA,0.001,NA,NA,"O",NA,24.3,5.08e-05,8.88e-05,NA,NA,TRUE
"Acrylonitrile","107-13-1",53.1,190,0.143,74000,0.000103,0.122,1.34e-05,1.78,1.76,0.02,"0.13","0.07",11,1,6.67,379,8.38,8.38,0.001,0.001,2.01e-05,9.55e-05,0.000116,1.41e-05,NA,3.16,NA,NA,0.04,"ATSDR Final",0.54,"IRIS",0.002,6.8e-05,NA,"O",NA,8.38,4.02e-05,7.04e-05,NA,NA,TRUE
"Aldehydes, Unspeciated","E761379",30,181,6.89,550000,3.36e-07,0.178,1.98e-05,2.24,2.21,0.02,"0.17","0.09",36.1,1,6.74,305,8.38,8.38,0.392,0.392,2.54e-05,0.000121,0.000146,1.75e-05,NA,3.16,NA,NA,0.2,"IRIS (formaldehyde)",NA,NA,0.009,5e-06,NA,"O",NA,8.38,5.08e-05,8.88e-05,NA,NA,TRUE
"Allyl Chloride","107-05-1",76.53,139,0.482,2968,0.011,0.0936,1.08e-05,85.11,39.6,NA,"2.97","1.584",18,1,1.2,5.6,5.6,5.6,0.018,0.018,6.72e-07,2.13e-06,NA,NA,NA,3.66,NA,NA,NA,"Pennsylvania Remediation, recommend removal.",0.021,"Cal EPA",0.001,6e-06,NA,"O",NA,NA,NA,NA,NA,NA,TRUE
"Aminobiphenyl 4-","92-67-1",169.23,327,1.24e-06,223.9,1.46e-07,0.0621,7.26e-06,724,306,NA,"22.935","12.232",NA,1,NA,NA,NA,NA,0.845,0.845,5.72e-06,1.81e-05,NA,NA,NA,35.8,NA,NA,NA,NA,21,"Cal EPA",NA,0.006,NA,"O",NA,NA,NA,NA,NA,NA,NA
"Ammonia","7664-41-7",17,196,8.5,480000,0.000301,0.287,3.33e-05,1.7,1.69,0.0169,"0.126","0.0674",253,1,0.35,20.7,28.5,28.5,0.000327,0.000327,1.92e-05,9.12e-05,0.00011,NA,NA,0.3,NA,NA,NA,NA,NA,NA,0.08,NA,NA,"O",NA,28.5,3.84e-05,6.72e-05,NA,NA,TRUE
"Aniline","62-53-3",93.6,267,0.000645,36000,1.9e-06,0.07,8.3e-06,7.94,7.67,1.2,"0.58","0.31",NA,1,7.45,6.21,8.38,8.38,0.267,0.267,8.41e-05,4e-04,0.000484,7.59e-05,NA,3.16,NA,NA,0.007,"PPRTV",0.0057,"IRIS",0.001,1.6e-06,NA,"O",NA,8.38,0.000168,0.000294,NA,NA,TRUE
"Anisidine,O-","90-04-0",123.16,280,0.00022,9598,9.26e-07,0.0652,8.91e-06,14,45.9,NA,"3.444","1.8368",NA,1,NA,NA,NA,NA,7.96,7.96,1.27e-07,3.78e-07,NA,NA,NA,2.79,NA,NA,NA,NA,0.14,"Cal EPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthracene","120-12-7",178,493,3.55e-09,0.043,6.5e-05,0.001,1e-05,31600,23500,4500,"1760","940",0.55,0.998,678,0.151,0.0971,0.0971,53.3,53.3,0.00712,0.0338,0.0409,0.235,NA,582,1030,NA,0.3,"IRIS",NA,NA,NA,0.00072,NA,"O","PAH",0.0971,0.0142,0.0249,NA,NA,TRUE
"Antimony","7440-36-0",125,903,0,23000,0.025,0.0772,9.57e-06,5.37,NA,45,"45","45",NA,0,NA,0.03,0.0319,0.2,NA,NA,1e-04,0.001,NA,NA,NA,40,NA,NA,4e-04,"IRIS",NA,NA,2e-04,NA,NA,"I","Metal",0.03,NA,NA,NA,NA,TRUE
"Arsenic","7440-38-2",78,1090,0,34700,0.77,0.0772,9.57e-06,4.79,NA,29,"29","29",NA,0,NA,0.008,0.00633,0.036,NA,NA,6e-05,0.002,NA,NA,NA,114,NA,NA,3e-04,"IRIS",1.5,"IRIS",1.5e-05,0.0043,NA,"I","Metal",0.004,NA,NA,NA,NA,TRUE
"Barium","7440-39-3",137.33,984,2.5e-40,54700,0.0245,NA,NA,1.7,13.2,41,NA,NA,NA,1,NA,NA,NA,NA,0.15,0.15,0.00035,0.00015,NA,NA,NA,0.9608,0.9608,NA,0.2,"IRIS",NA,NA,NA,NA,NA,"I","Metal",NA,NA,NA,NA,NA,NA
"Benzene","71-43-2",78.1,279,0.125,1800,0.0056,0.088,1.02e-05,126,61.7,0.12,"4.63","2.47",15.8,1,9.62,80.1,2.37,2.37,0.00172,0.00172,0.000712,0.00338,0.00409,0.00109,NA,8.26,NA,NA,0.004,"IRIS",0.055,"IRIS",0.03,7.8e-06,NA,"O",NA,2.37,0.00142,0.00249,NA,NA,TRUE
"Benzidine","92-87-5",184.24,394,7.86e-06,3765,5.78e-11,0.0351,7.48e-06,22,1190,NA,"89.25","47.6",NA,1,NA,NA,NA,NA,6.43,6.43,1.73e-07,5.47e-07,NA,NA,NA,3.56,NA,NA,0.003,"IRIS",230,"IRIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzo(a)Anthracene","56-55-3",228,357,1.45e-10,0.0094,3.4e-06,0.051,9e-06,501000,358000,60000,"26900","14300",0.37,0.483,5690,0.0948,0.0197,0.0197,19300,19300,0.00841,0.0399,0.0483,3.79,NA,4890,49900,NA,NA,NA,0.34,"MDH",NA,0.00036,NA,"O","PAH",0.0197,0.0168,0.0294,NA,NA,TRUE
"Benzo(a)Fluoranthene","203-33-8",252,441,1.06e-10,0.002,8.1e-07,0.0228,5.49e-06,1290000,6e+05,8360,"62700","33400",0.415,0.9412,13900,1.66,0.0101,0.0101,36500,36500,0.0127,0.04,0.0484,12.7,NA,9930,9950,NA,NA,NA,0.28,"MDH",NA,0.00054,NA,"O","PAH",0.0115,0.0154,0.0269,NA,NA,TRUE
"Benzo(a)Pyrene","50-32-8",252,453,7.24e-12,0.0016,1.1e-06,0.043,9e-06,1e+06,969000,160000,"72700","38800",0.48,0.294,9680,0.0605,0.0132,0.0132,125000,125000,0.00791,0.0376,0.0455,10.7,NA,961.6,1165,NA,3e-04,"IRIS",1.7,"MDH",NA,0.0018,NA,"O","PAH",0.0132,0.0158,0.0277,NA,NA,TRUE
"Benzo[c]Phenanthrene","195-19-7",228,409,2e-12,0.02635,5e-06,NA,NA,330000,180000,8360,"62700","33400",0.415,0.608,13900,1.66,0.0101,0.0101,36500,36500,0.0127,0.04,0.0484,12.7,NA,1364,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzo(b)Fluoranthene","205-99-2",252,441,6.58e-10,0.0015,0.000111,0.001,1e-05,1330000,1050000,10500,"78600","41900",0.41,0.966,12100,1.15,0.0112,0.0112,1680,1680,0.00762,0.0362,0.0438,12.7,NA,10400,206000,NA,NA,NA,1.4,"MDH",NA,0.0014,NA,"O","PAH",0.0112,0.0152,0.0267,NA,NA,TRUE
"Benzo(E)Pyrene","192-97-2",252,451,2.54e-11,0.00564,8.1e-07,0.043,9e-06,2800000,599000,160000,"44925","23960",0.48,0.294,9680,0.0605,0.0132,0.0132,125000,125000,0.00791,0.0376,0.0455,10.7,NA,8320,133000,NA,NA,NA,NA,NA,NA,NA,NA,"O","PAH",0.0132,0.0158,0.0277,NA,NA,TRUE
"Benzo(G,H,I)Fluoranthene","203-12-3",226.28,427,1.85e-11,0.00581,8.15e-07,0.0243,7.78e-06,1280000,796000,10500,"5.97E+04","3.18E+04",0.12,0.376,12100,1.15,0.0112,0.0112,106000,106000,0.00894,0.0344,0.0438,12.7,NA,7460,177000,NA,NA,NA,NA,NA,NA,NA,NA,"O","PAH",0.0115,0.0154,0.0269,NA,NA,TRUE
"Benzo(G,H,I)Perylene","191-24-2",276.33,551,1.31e-13,0.00026,2.66e-07,0.0448,5.23e-06,4270000,1950000,160000,"146250","78000",0.48,0.294,9680,0.0605,0.0132,0.0132,0.0055,0.0055,0.0337,0.101,0.0455,10.7,NA,11000,133000,NA,NA,NA,0.015,"MDH",NA,1.6e-05,NA,"O","PAH",0.0132,0.0158,0.0277,NA,NA,TRUE
"Benzo(B+K)Fluoranthene","E17133943",252,441,1.06e-10,0.00433,6.18e-06,0.0228,5.49e-06,1590000,836000,8360,"62700","33400",0.415,0.822,13900,1.66,0.0101,0.0101,36500,36500,0.0127,0.04,0.0484,12.7,NA,9930,9950,NA,NA,NA,0.28,"MDH",NA,0.00054,NA,"O","PAH",0.0115,0.0154,0.0269,NA,NA,TRUE
"Benzo(J)Fluoranthene","205-82-3",252.32,443,3.43e-11,0.01081,8e-07,0.0476,5.56e-06,1290000,599000,190000,"44925","23960",0.12,0.478,12100,1.15,0.0112,0.0112,0.011,0.011,0.0102,0.0322,0.0438,12.7,NA,4990,177000,NA,NA,NA,0.5,"MDH",NA,0.00054,NA,"O","PAH",0.0115,0.0154,0.0269,NA,NA,TRUE
"Benzo(k)Fluoranthene","207-08-9",252,493,2.63e-12,8e-04,8.3e-07,0.001,1e-05,1260000,992000,190000,"74400","39700",0.12,0.273,11600,0.0609,0.0115,0.0115,211000,211000,0.00768,0.0365,0.0442,12.6,NA,9930,177000,NA,NA,NA,0.051,"MDH",NA,5.4e-05,NA,"O","PAH",0.0115,0.0154,0.0269,NA,NA,TRUE
"Benzofluoranthenes, Unspeciated","56832-73-6",252,441,1.06e-10,0.00433,6.18e-06,0.0228,5.49e-06,1590000,836000,8360,"62700","33400",0.415,0.822,13900,1.66,0.0101,0.0101,36500,36500,0.0127,0.04,0.0484,12.7,NA,9930,9950,NA,NA,NA,0.28,"MDH",NA,0.00054,NA,"O","PAH",0.0115,0.0154,0.0269,NA,NA,TRUE
"Benzyl chloride","100-44-7",127,234,0.00172,525,0.000415,0.075,7.8e-06,200,182,1.82,"13.7","7.3",20.9,1,13.7,7.51,1.81,1.81,0.0379,0.0379,0.000954,0.00453,0.00548,1.83e-05,NA,11.8,NA,NA,0.002,"PPRTV",0.17,"IRIS",0.001,4.9e-05,NA,"O",NA,1.81,0.00191,0.00334,NA,NA,TRUE
"Beryllium","7440-41-7",9.01,1570,0,149000,0.015,0.0772,9.57e-06,0.269,NA,790,"790","790",NA,0,NA,0.0015,0.00258,0.01,NA,NA,9e-07,0.001,NA,NA,NA,62,NA,NA,0.002,"IRIS",NA,"HEAST, eliminate",2e-05,0.0024,NA,"I","Metal",0.0015,NA,NA,NA,NA,TRUE
"Biphenyl","92-52-4",154,342,1.18e-05,6.94,0.000262,0.0661,7.65e-06,9550,8180,81.8,"613","327",36.1,1,270,3.3,0.194,0.194,3.69,3.69,0.0054,0.0257,0.0311,NA,NA,232,NA,NA,0.5,"IRIS",0.008,"IRIS",NA,NA,NA,"O",NA,0.194,0.0108,0.0189,NA,NA,TRUE
"Bis(2-chlorethyl)ether","111-44-4",143.013,226.35,0.00204,17200,1.8e-05,0.0413,9.49e-06,19.498446,75.9,0.76,"5.69","3.04",1.41,1,8.6,11.3,6.96,6.96,0.0734,0.0734,0.000180973,0.000859622,0.001040595,0.000158866,NA,1.96,NA,NA,NA,NA,1.1,"IRIS",NA,0.00033,NA,"O",NA,6.96,0.000361946,0.000633406,NA,NA,TRUE
"Bromoform (Tribromomethane)","75-25-2",253,281,0.00725,3100,6.5,0.0149,1.03e-05,234,126,1.26,"9.45","5.04",1.41,1,15.5,12.3,1.65,1.65,2.87e-06,2.87e-06,0.00105,0.005,0.00605,0.00178,NA,13.3,NA,NA,0.02,"IRIS",0.00793,"IRIS",NA,1.1e-06,NA,"O",NA,1.65,0.0021,0.00368,NA,NA,TRUE
"Butadiene 1,3-","106-99-0",54.1,164,2.78,735,0.204,0.133,1.54e-05,97.7,45.1,0.451,"3.38","1.8",8.43,1,14.2,31.5,2.74,2.74,3.6e-05,3.6e-05,0.000602,0.00286,0.00346,NA,NA,6.8,NA,NA,NA,NA,3.4,"Cal EPA",0.002,5.88e-05,NA,"O",NA,2.74,0.0012,0.00211,NA,NA,TRUE
"Butyl Carbitol Acetate","124-17-4",204.27,298,4.65e-05,2343,9.9e-08,NA,NA,20,12.27,NA,"0.92025","0.4908",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O",NA,NA,NA,NA,NA,NA,TRUE
"Butyl Cellosolve","111-76-2",118.18,196,0.00105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butylbenzylphthalate","85-68-7",312,238,1.09e-08,2.7,1.3e-06,0.001,1e-05,79400,13700,8700,"1030","548",36.1,0.948,1380,0.158,0.057,0.057,7110,7110,0.00809,0.0384,0.0465,0.206,NA,1180,3290,NA,0.2,"IRIS",0.0019,"PPRTV",NA,NA,NA,"O","PH",0.057,0.0162,0.0283,NA,NA,TRUE
"Cadmium","7440-43-9",112.4,593.15,5.45e-12,123000,0.031,0.0772,9.57e-06,0.851138038,NA,75,"75","75",2.53e-06,0.009,NA,0.064,0.125,0.364,NA,NA,6.5e-06,0.00012,0.000191489,0.0025,NA,907,NA,NA,0.001,"IRIS",NA,NA,2e-05,0.0018,NA,"I","Metal",0.062,0.0025,0.10625,NA,NA,TRUE
"Carbitol Acetate","112-15-2",176.21,275.9,0.000186,30900,NA,0.057,7.98e-06,2.089,4.54,NA,"0.3405","0.1816",NA,1,NA,NA,NA,NA,17.5,17.5,3.07e-08,9.73e-08,NA,NA,NA,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O",NA,NA,NA,NA,NA,NA,TRUE
"Carbon Disulfide","75-15-0",76.1,153,0.474,1200,0.03,0.104,1e-05,158,66.2,0.091,"4.96","2.65",NA,1,11.5,126,2.07,2.07,0.00041,0.00041,0.000826,0.00392,0.00475,0.000794,NA,9.86,NA,NA,0.1,"IRIS",NA,NA,0.7,NA,NA,"O",NA,2.07,0.00165,0.00289,NA,NA,TRUE
"Carbon Monoxide","630-08-0",28.01,134,11.43,49700,0.000563,0.173,1.79e-05,2.5,2.22,NA,"0.1665","0.0888",NA,1,NA,NA,NA,NA,22.6,22.6,1.98e-08,6.28e-08,NA,NA,NA,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O",NA,NA,NA,NA,NA,NA,TRUE
"Carbon Monoxide_2013_point","630-08-0-2013",28.01,134,11.43,49700,0.000563,0.173,1.79e-05,2.5,2.22,NA,"0.1665","0.0888",NA,1,NA,NA,NA,NA,22.6,22.6,1.98e-08,6.28e-08,NA,NA,NA,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O",NA,NA,NA,NA,NA,NA,TRUE
"Carbon Tetrachloride","56-23-5",154,250,0.158,790,0.03,0.078,8.8e-06,631,152,0.35,"11.4","6.08",0.7,1,33.3,95.1,0.932,0.932,0.00179,0.00179,0.00183,0.00868,0.0105,0.00414,NA,28.6,NA,NA,0.004,"IRIS",0.07,"IRIS",0.1,6e-06,NA,"O",NA,0.932,0.00366,0.0064,NA,NA,TRUE
"Carbonyl Sulfide","463-58-1",60.07,171.29,10.79,1e+06,0.0492,NA,NA,0.0468,0.9123,NA,"0.0684225","0.036492",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O",NA,NA,NA,NA,NA,NA,TRUE
"Catechol","120-80-9",110,378,3.95e-05,461000,9.43e-09,0.0827,9.58e-06,7.59,7.33,0.0733,"0.55","0.293",36.1,1,7.41,101,12,12,51.3,51.3,8.07e-05,0.000383,0.000464,NA,NA,3.16,NA,NA,NA,NA,NA,"cannot find this value, eliminate",NA,NA,NA,"O",NA,12,0.000161,0.000283,NA,NA,TRUE
"Cellosolve","110-80-5",90.1,203,0.00699,1e+06,6.3e-07,0.0945,1.09e-05,0.479,0.485,0.00485,"0.0364","0.0194",8.43,1,6.44,1330,59.3,59.3,0.0405,0.0405,4.89e-06,2.32e-05,2.81e-05,NA,NA,3.16,NA,NA,0.09,"PPRTV",NA,NA,0.2,NA,NA,"O",NA,59.3,9.78e-06,1.71e-05,NA,NA,TRUE
"Chlorine","7782-50-5",70.9,172,7.7,6300,0.0117,0.001,1e-05,7.08,13.22,NA,"0.9915","0.5288",NA,1,7.36,NA,8.38,8.38,NA,NA,7.59e-05,0.00036,0.000436,NA,NA,3.16,NA,NA,0.1,"IRIS",NA,NA,2e-04,NA,NA,"I",NA,8.38,0.000152,0.000266,NA,NA,TRUE
"Chloroacetophenone 2-","532-27-4",155,330,7.11e-06,1640,6.7e-07,0.066,7.64e-06,85.1,79,0.79,"5.92","3.16",3.37,1,13.4,17,2.97,2.97,9.48,9.48,0.000548,0.0026,0.00315,NA,NA,6.11,NA,NA,NA,NA,NA,NA,3e-05,NA,NA,"O",NA,2.97,0.0011,0.00192,NA,NA,TRUE
"Chlorobenzene","108-90-7",113,228,0.0158,470,0.0037,0.073,8.7e-06,631,224,0.44,"16.8","8.96",1.69,1,33.3,75.6,0.932,0.932,0.0145,0.0145,0.00183,0.00868,0.0105,0.00489,NA,28.6,NA,NA,0.02,"IRIS",NA,NA,1,NA,NA,"O",NA,0.932,0.00366,0.0064,NA,NA,TRUE
"Chloroethane","75-00-3",64.5,133,1.32,5700,0.0088,0.271,1.15e-05,25.1,15.4,0.032,"1.15","0.62",9.03,1,9.09,284,6.01,6.01,0.000197,0.000197,0.000222,0.00105,0.00128,0.01,NA,2.39,NA,NA,NA,NA,NA,NA,10,NA,NA,"O",NA,6.01,0.000444,0.000776,NA,NA,TRUE
"Chloroform (Trichloromethane)","67-66-3",119,209,0.263,7900,0.0037,0.104,1e-05,100,52.5,0.08,"3.94","2.1",1.41,1,8.05,101,2.7,2.7,0.00204,0.00204,0.000611,0.0029,0.00351,0.000707,NA,6.92,NA,NA,0.01,"IRIS",0.032,"Cal EPA",0.3,2.3e-05,NA,"O",NA,2.7,0.00122,0.00214,NA,NA,TRUE
"Chloronaphthalene,2-","91-58-7",163,333,1.05e-05,11.7,0.000314,0.001,1e-05,2400,2100,21,"158","84.1",5.27,1,93,4.42,0.431,0.431,0.708,0.708,0.00337,0.016,0.0194,0.0933,NA,79.9,69.3,NA,0.08,"IRIS",NA,NA,NA,NA,NA,"O","PAH",0.431,0.00674,0.0118,NA,NA,TRUE
"Chloroprene","126-99-8",88.5,143,0.284,875,0.0288,0.0956,1.11e-05,339,121,1.21,"9.06","4.83",8.43,1,20.6,17.1,1.34,1.34,0.000962,0.000962,0.0013,0.0062,0.0075,NA,NA,17.7,NA,NA,NA,"HEAST, eliminate",NA,NA,0.02,3e-04,NA,"O",NA,1.34,0.00261,0.00457,NA,NA,TRUE
"Chromium (III)","16065-83-1",52,2170,0,NA,0,0.136,1.58e-05,0,NA,19,"19","19",2.53e-06,0,NA,0.0045,0.00488,0.0075,NA,NA,0.0015,0.0055,NA,NA,NA,3,NA,NA,1.5,"IRIS",NA,NA,NA,NA,NA,"I","Metal",0.0075,NA,NA,NA,NA,TRUE
"Chromium, Hexavalent","18540-29-9",52,2170,0,NA,0,0.136,0,1,NA,19,"19","19",2.53e-06,0,NA,0.0045,0.00488,0.0075,NA,NA,0.0015,0.0055,NA,NA,NA,3.16,NA,NA,0.003,"IRIS",0.5,"NJEPA",8e-06,0.012,NA,"I","Metal",0.0045,NA,NA,NA,NA,TRUE
"Chrysene","218-01-9",228,533,8.16e-12,0.0063,9.5e-05,0.001,1e-05,501000,401000,60000,"30100","16000",0.25,0.744,5690,0.0948,0.0197,0.0197,692,692,0.00841,0.0399,0.0483,4.36,NA,4890,49900,NA,NA,NA,0.17,"MDH",NA,0.00018,NA,"O","PAH",0.0197,0.0168,0.0294,NA,NA,TRUE
"Methylchrysenes","41637-90-5",242.32,422.4,7.14e-10,0.0133,5.53e-06,0.0489,5.66e-06,1170000,290000,9270,"69500","37100",2.11,0.848,11000,1.18,0.012,0.012,125000,125000,0.00775,0.0368,0.0446,4.36,NA,764.6,1002,NA,NA,NA,1.7,"MDH",NA,0.0018,NA,"O","PAH",0.012,0.0155,0.0271,NA,NA,TRUE
"Cobalt","7440-48-4",58.9,1770,5.5e-12,87500,0,0.126,0,1.7,13.2,NA,"0.99","0.528",2.53e-06,0,NA,0.007,NA,0.02,0.02,0.02,NA,0.02,NA,NA,NA,0.981,0.981,NA,3e-04,"PPRTV",NA,NA,6e-06,0.009,NA,"I","Metal",NA,NA,NA,NA,NA,TRUE
"Copper","7440-50-8",64,1370,0,10000,0,0.119,0,0.269,13.2,NA,"0.99","0.528",2.53e-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HEAST, eliminate",NA,NA,NA,NA,NA,"I","Metal",NA,NA,NA,NA,NA,TRUE
"Cresol Mixed Isomers","1319-77-3",109,294,0.000224,9070,2.69e-06,0.0832,9.63e-06,89.1,82.6,0.826,"6.2","3.31",8.43,1,13.7,16.6,2.89,2.89,2.48,2.48,0.000565,0.00268,0.00325,NA,NA,6.33,NA,NA,NA,"HEAST, eliminate",NA,NA,0.6,NA,NA,"O",NA,2.89,0.00113,0.00198,NA,NA,TRUE
"Cumene (Isopropylbenzene)","98-82-8",120,177,0.00592,61,1.2,0.065,7.1e-06,5010,1020,600,"76.5","40.8",31.6,1,164,0.273,0.281,0.281,0.000406,0.000406,0.00442,0.021,0.0254,0.0326,NA,141,NA,NA,0.1,"IRIS",NA,NA,0.4,NA,NA,"O",NA,0.281,0.00885,0.0155,NA,NA,TRUE
"Cyanide","57-12-5",26.02,NA,0.408,95400,0.024,0.001,1e-05,0.204173794,0.34,9.9,"0.03","0.014",NA,1,6.39,0.646,8.38,8.38,4.29e-07,4.29e-07,1.91e-06,9.07e-06,1.1e-05,NA,NA,3.16,NA,NA,6e-04,"IRIS",NA,NA,0.003,NA,NA,"O",NA,8.38,3.82e-06,6.68e-06,NA,NA,TRUE
